Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5788  2.1717    -7.0501 -0.3771
      1  -5.5036  1.1801    -7.3485 -4.0306
      2  -4.5866  0.7288    -5.5116 -3.9357
      3  -5.0009  0.5826    -5.6601 -4.6144
      4  -5.1684  0.5161    -5.7486 -4.9785
      5  -5.3199  0.5275    -5.9582 -5.1227
      6  -5.6648  0.9740    -7.6299 -5.1429
      7  -6.1855  1.3572    -8.7376 -4.6648
      8  -6.8269  1.6557    -9.1568 -3.4082
      9  -7.2904  1.7533    -6.5195 -3.2003
     10  -7.5044  1.4535    -6.2210 -5.4941
     11  -7.6275  1.2330    -6.0616 -6.1518
     12  -7.9427  1.1451    -4.3814 -6.6129
     13  -8.0076  0.9891    -4.3181 -6.7413
     14  -7.7357  1.0200    -6.7707 -6.5377
     15  -7.4579  0.9971    -9.1434 -6.3661
     16  -7.2369  0.9151    -8.9067 -6.2728
     17  -7.0512  0.8147    -8.5471 -6.1829
     18  -6.7338  0.8194    -8.0381 -5.9283
     19  -6.4618  0.8386    -7.6125 -5.6967

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0591     0.0057  0.1897
      1   0.0996  0.0594     0.0051  0.1895
      2   0.1004  0.0594     0.0047  0.1897
      3   0.1008  0.0592     0.0052  0.1897
      4   0.1039  0.0587     0.0068  0.1903
      5   0.1015  0.0593     0.0058  0.1899
      6   0.0406  0.0366     0.0001  0.1125
      7   0.0158  0.0136     0.0000  0.0393
      8   0.0086  0.0060     0.0000  0.0172
      9   0.0072  0.0045     0.0000  0.0126
     10   0.0079  0.0041     0.0001  0.0128
     11   0.0082  0.0039     0.0001  0.0129
     12   0.0081  0.0035     0.0002  0.0125
     13   0.0082  0.0034     0.0003  0.0126
     14   0.0083  0.0035     0.0003  0.0127
     15   0.0085  0.0038     0.0003  0.0131
     16   0.0089  0.0041     0.0004  0.0136
     17   0.0094  0.0044     0.0004  0.0144
     18   0.0085  0.0037     0.0003  0.0130
     19   0.0079  0.0033     0.0002  0.0122

