trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3151 710.00  0.00 800.00 156.43  0
  1 2724 390.00  0.00 800.00 47.14  1
  2 3279 410.00  0.00 800.00 208.57  0
  3 2961 390.00  0.00 800.00 104.29  1
  4 3117 370.00  0.00 800.00 156.43  1
  5 3274 360.00  0.00 800.00 208.57  1
  6 3280 420.00  0.00 800.00 208.57  1
  7 3513 380.00  0.00 800.00 365.00  1
  8 3757 450.00  0.00 800.00 521.43  1
  9 3768 560.00  0.00 800.00 521.43  1
 10 2370  10.00  0.00 800.00 30.00  1
 11 2212  10.00  0.00 800.00 21.43  1
 12 3771 590.00  0.00 800.00 521.43  1
 13 2370  10.00  0.00 800.00 30.00  1
 14 3776 640.00  0.00 800.00 521.43  0
 15 3775 630.00  0.00 800.00 521.43  0
 16 3777 650.00  0.00 800.00 521.43  0
 17 3776 640.00  0.00 800.00 521.43  0
 18 3757 450.00  0.00 800.00 521.43  0
 19 3753 410.00  0.00 800.00 521.43  0
