Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6142  2.7291    -9.0005 -0.4872
      1  -2.1865  1.4057    -4.3498 -0.2385
      2  -1.1470  0.9213    -2.3396 -0.1312
      3  -0.6173  0.7262    -1.3189 -0.0769
      4  -0.8583  0.6121    -1.4268 -0.5381
      5  -0.9898  0.5242    -1.4997 -0.7972
      6  -1.1313  0.5062    -1.5869 -0.9376
      7  -1.0696  0.3676    -1.3232 -0.9244
      8  -0.9855  0.7426    -1.3978 -0.7491
      9  -0.8911  0.6749    -1.2850 -0.6738
     10  -1.1109  1.0326    -1.7467 -0.7208
     11  -1.1931  1.0206    -1.8371 -0.8187
     12  -1.1732  0.8520    -1.6293 -0.8637
     13  -1.1515  0.6921    -1.5525 -0.9456
     14  -1.0986  0.5138    -1.3733 -0.9458
     15  -1.0896  0.3960    -1.3263 -1.0620
     16  -1.0699  0.2928    -1.3179 -1.0619
     17  -1.0705  0.2250    -1.3173 -1.0688
     18  -1.0695  0.1712    -1.3168 -1.0719
     19  -1.0640  0.1257    -1.3139 -1.0718

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1017  0.0587     0.0068  0.1898
      2   0.1022  0.0585     0.0077  0.1899
      3   0.1034  0.0580     0.0093  0.1900
      4   0.1036  0.0579     0.0096  0.1901
      5   0.1056  0.0572     0.0111  0.1903
      6   0.1038  0.0578     0.0099  0.1901
      7   0.1141  0.0546     0.0183  0.1915
      8   0.0604  0.0410     0.0039  0.1379
      9   0.0650  0.0428     0.0055  0.1460
     10   0.0387  0.0270     0.0001  0.0860
     11   0.0398  0.0280     0.0001  0.0890
     12   0.0445  0.0290     0.0017  0.0949
     13   0.0490  0.0296     0.0039  0.0998
     14   0.0523  0.0289     0.0081  0.1018
     15   0.0555  0.0287     0.0109  0.1044
     16   0.0582  0.0281     0.0149  0.1064
     17   0.0611  0.0280     0.0175  0.1089
     18   0.0634  0.0278     0.0205  0.1107
     19   0.0655  0.0274     0.0232  0.1125

