trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1188  40.00  0.00 800.00  2.57  1
  1 2883 400.00  0.00 800.00 78.21  0
  2 1858 420.00  0.00 800.00  8.57  0
  3 1457 360.00  0.00 800.00  4.00  0
  4  751 410.00  0.00 800.00  1.43  1
  5  988 410.00  0.00 800.00  1.86  1
  6 1147 420.00  0.00 800.00  2.29  1
  7 1458 370.00  0.00 800.00  4.00  0
  8 1223 390.00  0.00 800.00  2.57  0
  9 1224 400.00  0.00 800.00  2.57  0
 10 1148 430.00  0.00 800.00  2.29  1
 11 1147 420.00  0.00 800.00  2.29  1
 12 1145 400.00  0.00 800.00  2.29  1
 13 1222 380.00  0.00 800.00  2.57  1
 14 1462 410.00  0.00 800.00  4.00  0
 15 1221 370.00  0.00 800.00  2.57  1
 16 1384 420.00  0.00 800.00  3.50  0
 17 1222 380.00  0.00 800.00  2.57  1
 18 1145 400.00  0.00 800.00  2.29  1
 19 1383 410.00  0.00 800.00  3.50  0
