Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.7149  1.6940    -5.3649 -0.2902
      1  -1.4295  1.1007    -2.8578 -0.1574
      2  -0.6830  0.9234    -1.4770 -0.0782
      3  -1.0820  0.9042    -1.8039 -0.6646
      4  -1.2463  0.8929    -2.0975 -0.9196
      5  -1.1280  0.6774    -1.4489 -0.9082
      6  -1.1171  0.5181    -1.3950 -1.0674
      7  -1.0853  0.3693    -1.3201 -1.0677
      8  -1.1792  1.1004    -1.9830 -0.7478
      9  -1.1966  1.4322    -4.6560 -0.5181
     10  -1.0719  1.1247    -1.9299 -0.6315
     11  -1.3162  1.4027    -4.6700 -0.7057
     12  -1.1709  1.0799    -1.9658 -0.8007
     13  -1.2035  1.0025    -1.8394 -0.8305
     14  -1.1085  0.7544    -1.5097 -0.8313
     15  -1.1129  0.6354    -1.4918 -0.8762
     16  -1.1041  0.5077    -1.4658 -0.9404
     17  -1.0739  0.3787    -1.3243 -0.9382
     18  -1.0541  0.5366    -1.3232 -0.8433
     19  -1.0687  0.4515    -1.3233 -0.8844

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1004  0.0594     0.0044  0.1897
      1   0.1009  0.0593     0.0050  0.1898
      2   0.1007  0.0593     0.0048  0.1897
      3   0.0977  0.0604     0.0025  0.1894
      4   0.0971  0.0609     0.0021  0.1894
      5   0.1100  0.0575     0.0083  0.1913
      6   0.1187  0.0543     0.0169  0.1923
      7   0.1225  0.0516     0.0272  0.1926
      8   0.0489  0.0354     0.0001  0.1128
      9   0.0351  0.0294     0.0000  0.0886
     10   0.0396  0.0294     0.0001  0.0926
     11   0.0283  0.0209     0.0000  0.0638
     12   0.0309  0.0204     0.0001  0.0655
     13   0.0325  0.0210     0.0001  0.0679
     14   0.0350  0.0206     0.0026  0.0693
     15   0.0379  0.0212     0.0045  0.0734
     16   0.0407  0.0214     0.0071  0.0759
     17   0.0428  0.0209     0.0094  0.0776
     18   0.0344  0.0170     0.0064  0.0616
     19   0.0363  0.0172     0.0078  0.0638

