trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3203 440.00  0.00 800.00 182.50  0
  1 2094 410.00  0.00 800.00 15.00  0
  2 1305 420.00  0.00 800.00  3.00  0
  3  988 410.00  0.00 800.00  1.86  1
  4 1224 400.00  0.00 800.00  2.57  1
  5 1458 370.00  0.00 800.00  4.00  0
  6 1223 390.00  0.00 800.00  2.57  1
  7 1458 380.00  0.00 800.00  4.50  0
  8 1223 410.00  0.00 800.00  2.29  0
  9 1223 400.00  0.00 800.00  2.29  0
 10  904 360.00  0.00 800.00  1.71  1
 11 1225 410.00  0.00 800.00  2.57  1
 12  977 300.00  0.00 800.00  1.86  1
 13 1223 390.00  0.00 800.00  2.57  1
 14 1389 470.00  0.00 800.00  3.50  0
 15 1222 380.00  0.00 800.00  2.57  1
 16 1221 370.00  0.00 800.00  2.57  1
 17 1386 440.00  0.00 800.00  3.50  0
 18 1221 360.00  0.00 800.00  3.00  0
 19 1222 380.00  0.00 800.00  2.57  1
