Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6107  2.7305    -9.0001 -0.4836
      1  -6.9133  1.4694    -8.3799 -4.8930
      2  -5.7724  0.9022    -7.0693 -4.7817
      3  -5.0876  0.6762    -5.8212 -4.5746
      4  -4.7867  0.6680    -5.4117 -4.2373
      5  -4.5755  0.7552    -5.1605 -3.4500
      6  -4.7429  0.3720    -5.1690 -4.6863
      7  -4.8920  0.6540    -5.5045 -4.5594
      8  -4.9925  0.6003    -5.5787 -4.7660
      9  -5.0299  0.4878    -5.5366 -4.8857
     10  -5.0000  0.3640    -5.3550 -4.9008
     11  -4.8332  1.2483    -7.0269 -2.3955
     12  -4.8623  0.9657    -5.9848 -3.8274
     13  -4.8785  0.7461    -5.7151 -4.2956
     14  -4.8564  0.5949    -5.5005 -4.4055
     15  -4.8930  0.4711    -5.4853 -4.5812
     16  -4.7094  1.0610    -6.0586 -3.3297
     17  -4.7184  0.8352    -5.6830 -3.9048
     18  -4.7230  0.6727    -5.5567 -4.0379
     19  -4.7732  0.5588    -5.5368 -4.2413

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0067  0.1898
      1   0.1016  0.0588     0.0065  0.1898
      2   0.1007  0.0592     0.0057  0.1897
      3   0.1000  0.0596     0.0047  0.1897
      4   0.0986  0.0599     0.0041  0.1894
      5   0.0959  0.0613     0.0031  0.1892
      6   0.1111  0.0566     0.0115  0.1913
      7   0.0553  0.0410     0.0005  0.1327
      8   0.0582  0.0423     0.0011  0.1384
      9   0.0648  0.0433     0.0036  0.1455
     10   0.0719  0.0426     0.0087  0.1503
     11   0.0167  0.0146     0.0000  0.0411
     12   0.0184  0.0143     0.0000  0.0423
     13   0.0195  0.0140     0.0001  0.0431
     14   0.0213  0.0140     0.0006  0.0449
     15   0.0232  0.0141     0.0013  0.0464
     16   0.0095  0.0065     0.0000  0.0189
     17   0.0102  0.0062     0.0001  0.0192
     18   0.0106  0.0060     0.0002  0.0193
     19   0.0113  0.0062     0.0004  0.0200

