trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  238  20.00  0.00 800.00  0.57  1
  1 3036 350.00  0.00 800.00 130.36  1
  2 3766 540.00  0.00 800.00 521.43  0
  3 3359 420.00  0.00 800.00 260.71  0
  4 3122 420.00  0.00 800.00 156.43  0
  5 3041 400.00  0.00 800.00 130.36  0
  6 2887 440.00  0.00 800.00 78.21  1
  7 3117 370.00  0.00 800.00 156.43  1
  8 3041 400.00  0.00 800.00 130.36  1
  9 3040 390.00  0.00 800.00 130.36  1
 10 3276 380.00  0.00 800.00 208.57  0
 11 3040 370.00  0.00 800.00 104.29  0
 12 1580  10.00  0.00 800.00  5.00  1
 13 1501  10.00  0.00 800.00  4.50  1
 14 3208 490.00  0.00 800.00 182.50  0
 15 2954 320.00  0.00 800.00 104.29  1
 16 2954 330.00  0.00 800.00 78.21  0
 17  553  10.00  0.00 800.00  1.14  1
 18  237  10.00  0.00 800.00  0.57  1
 19 2872 290.00  0.00 800.00 78.21  1
