trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1582  30.00  0.00 800.00  5.00  1
  1 3041 400.00  0.00 800.00 130.36  0
  2 2013 390.00  0.00 800.00 12.86  1
  3 2647 410.00  0.00 800.00 42.86  1
  4 2883 400.00  0.00 800.00 78.21  0
  5 2807 430.00  0.00 800.00 52.14  1
  6 2883 410.00  0.00 800.00 52.14  0
  7 2807 440.00  0.00 800.00 78.21  1
  8  711  10.00  0.00 800.00  1.43  1
  9  711  10.00  0.00 800.00  1.57  1
 10   79  10.00  0.00 800.00  0.29  1
 11 3044 430.00  0.00 800.00 130.36  1
 12  237  10.00  0.00 800.00  0.57  1
 13 3285 470.00  0.00 800.00 208.57  0
 14 3127 470.00  0.00 800.00 156.43  0
 15 2872 290.00  0.00 800.00 78.21  1
 16 3050 490.00  0.00 800.00 130.36  0
 17 2972 500.00  0.00 800.00 104.29  0
 18 2873 300.00  0.00 800.00 78.21  1
 19 2971 490.00  0.00 800.00 104.29  0
