Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6194  2.7269    -9.0011 -0.4925
      1  -2.4372  1.5230    -4.8333 -0.2673
      2  -3.7150  0.8603    -4.9587 -2.6983
      3  -4.3760  0.6244    -5.1186 -3.9102
      4  -4.0820  0.4943    -4.6325 -3.7515
      5  -4.2516  0.4675    -4.7217 -4.0535
      6  -4.0973  0.9523    -5.4157 -3.2105
      7  -4.4589  1.6587    -8.1435 -1.4852
      8  -4.4219  1.3604    -7.4425 -2.3456
      9  -4.3951  1.1098    -6.4909 -3.1802
     10  -4.3771  0.9247    -5.8899 -3.4602
     11  -4.8205  1.3397    -7.6614 -3.1059
     12  -4.8274  1.1666    -7.2455 -3.6054
     13  -4.6155  0.8921    -6.0276 -3.6719
     14  -4.4956  0.7380    -5.5738 -3.6795
     15  -4.5829  0.6462    -5.6021 -3.9165
     16  -4.5036  0.5505    -5.3781 -3.8907
     17  -4.4385  0.4860    -5.2161 -3.8546
     18  -4.5033  0.4258    -5.2345 -4.0185
     19  -4.4537  0.3818    -5.1365 -4.0003

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0070  0.1899
      1   0.1022  0.0585     0.0074  0.1899
      2   0.1015  0.0589     0.0064  0.1898
      3   0.1006  0.0592     0.0054  0.1897
      4   0.1010  0.0587     0.0065  0.1896
      5   0.1025  0.0587     0.0066  0.1900
      6   0.0397  0.0359     0.0000  0.1087
      7   0.0105  0.0115     0.0000  0.0302
      8   0.0125  0.0116     0.0000  0.0321
      9   0.0139  0.0114     0.0000  0.0331
     10   0.0147  0.0112     0.0001  0.0336
     11   0.0081  0.0055     0.0000  0.0154
     12   0.0087  0.0052     0.0001  0.0160
     13   0.0096  0.0055     0.0001  0.0177
     14   0.0103  0.0058     0.0002  0.0188
     15   0.0111  0.0060     0.0004  0.0197
     16   0.0118  0.0062     0.0006  0.0204
     17   0.0126  0.0065     0.0007  0.0213
     18   0.0134  0.0067     0.0009  0.0230
     19   0.0142  0.0069     0.0011  0.0242

