Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6147  2.7288    -9.0006 -0.4880
      1  -6.9121  1.4643    -8.3935 -4.8886
      2  -5.7730  0.8883    -7.0683 -4.7798
      3  -5.0935  0.6439    -5.8161 -4.5898
      4  -4.8015  0.6142    -5.4081 -4.3524
      5  -4.6074  0.6740    -5.1567 -3.8309
      6  -4.7439  0.3578    -5.1658 -4.6754
      7  -4.8917  0.6428    -5.4996 -4.5699
      8  -4.7633  0.6784    -5.3248 -4.3561
      9  -4.7140  0.5826    -5.2074 -4.3952
     10  -4.4215  1.2247    -6.2595 -2.1433
     11  -4.5507  0.9385    -5.4625 -3.4346
     12  -4.6058  0.7242    -5.2539 -4.0091
     13  -4.6530  0.5743    -5.2281 -4.2756
     14  -4.6895  0.4624    -5.2169 -4.4688
     15  -4.7264  0.3880    -5.2209 -4.5149
     16  -4.7077  0.3068    -5.1491 -4.5167
     17  -4.7221  0.2468    -5.1448 -4.5425
     18  -4.7439  0.2073    -5.1560 -4.5997
     19  -4.7301  0.1678    -5.0634 -4.5937

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1017  0.0587     0.0068  0.1898
      2   0.1008  0.0590     0.0060  0.1897
      3   0.1001  0.0593     0.0051  0.1896
      4   0.0989  0.0595     0.0046  0.1893
      5   0.0965  0.0605     0.0036  0.1891
      6   0.1106  0.0563     0.0121  0.1911
      7   0.0553  0.0408     0.0006  0.1323
      8   0.0518  0.0386     0.0001  0.1235
      9   0.0586  0.0404     0.0016  0.1324
     10   0.0169  0.0155     0.0000  0.0446
     11   0.0201  0.0160     0.0000  0.0477
     12   0.0225  0.0160     0.0001  0.0498
     13   0.0250  0.0162     0.0008  0.0526
     14   0.0275  0.0165     0.0020  0.0549
     15   0.0299  0.0171     0.0032  0.0586
     16   0.0318  0.0170     0.0053  0.0603
     17   0.0335  0.0170     0.0073  0.0616
     18   0.0356  0.0174     0.0082  0.0645
     19   0.0375  0.0174     0.0096  0.0663

