Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.0792  1.9452    -9.1514 -3.2810
      1  -4.4031  1.1159    -5.9876 -2.9530
      2  -3.5772  0.8802    -4.5017 -2.1845
      3  -3.9847  0.5808    -4.6491 -3.6361
      4  -4.2624  0.5968    -4.9518 -3.9885
      5  -4.5655  0.9565    -6.2771 -3.9782
      6  -4.4199  0.7161    -5.2062 -4.0462
      7  -4.4372  0.5642    -5.0743 -4.2265
      8  -4.7172  0.9979    -6.3776 -3.9998
      9  -4.6306  0.7708    -5.5540 -4.2269
     10  -4.5715  0.6113    -5.2143 -4.2493
     11  -4.5034  0.5340    -4.9978 -4.2389
     12  -4.5629  0.5068    -5.0583 -4.3376
     13  -4.5913  0.4293    -5.0625 -4.4824
     14  -4.5321  0.3816    -4.9751 -4.4744
     15  -4.6759  0.8792    -5.5994 -4.2038
     16  -4.6764  0.6675    -5.3682 -4.3338
     17  -4.6761  0.5139    -5.2655 -4.3996
     18  -4.6508  0.4095    -5.1933 -4.4223
     19  -4.6310  0.3331    -5.1105 -4.4334

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1000  0.0595     0.0049  0.1896
      1   0.0988  0.0598     0.0042  0.1895
      2   0.0964  0.0605     0.0034  0.1891
      3   0.1020  0.0587     0.0057  0.1898
      4   0.0954  0.0598     0.0029  0.1885
      5   0.0447  0.0407     0.0001  0.1256
      6   0.0540  0.0418     0.0001  0.1348
      7   0.0592  0.0418     0.0025  0.1391
      8   0.0234  0.0193     0.0000  0.0574
      9   0.0268  0.0195     0.0001  0.0607
     10   0.0301  0.0198     0.0007  0.0643
     11   0.0328  0.0206     0.0019  0.0681
     12   0.0338  0.0210     0.0024  0.0698
     13   0.0363  0.0216     0.0043  0.0736
     14   0.0397  0.0229     0.0062  0.0794
     15   0.0181  0.0117     0.0001  0.0360
     16   0.0190  0.0113     0.0001  0.0365
     17   0.0196  0.0110     0.0010  0.0367
     18   0.0209  0.0109     0.0018  0.0380
     19   0.0221  0.0109     0.0027  0.0391

