trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3012 110.00  0.00 800.00 130.36  1
  1 3592 380.00  0.00 800.00 417.14  0
  2 2883 400.00  0.00 800.00 78.21  0
  3 2412 430.00  0.00 800.00 30.00  1
  4 2806 420.00  0.00 800.00 52.14  1
  5 2883 400.00  0.00 800.00 78.21  1
  6 3039 380.00  0.00 800.00 130.36  0
  7 2883 410.00  0.00 800.00 52.14  1
  8 2883 410.00  0.00 800.00 104.29  1
  9 3125 450.00  0.00 800.00 156.43  0
 10 3044 430.00  0.00 800.00 130.36  0
 11 2963 410.00  0.00 800.00 104.29  0
 12 2963 420.00  0.00 800.00 78.21  1
 13 2963 400.00  0.00 800.00 78.21  1
 14 2962 400.00  0.00 800.00 104.29  0
 15 2963 430.00  0.00 800.00 130.36  1
 16 1580  10.00  0.00 800.00  5.00  1
 17 1738  10.00  0.00 800.00  7.00  1
 18 3050 490.00  0.00 800.00 130.36  0
 19 3048 470.00  0.00 800.00 130.36  0
