Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5726  1.6601    -9.2000 -4.2538
      1  -7.9095  1.0729    -4.7102 -6.8692
      2  -8.4448  0.8902    -2.7581 -7.7972
      3  -8.7119  0.7717    -1.8171 -8.2343
      4  -8.9004  0.7314    -1.0985 -8.5416
      5  -8.3141  1.5276    -2.6212 -4.8811
      6  -6.5831  2.6914    -5.5443 -1.0170
      7  -7.1889  2.3765    -4.5927 -1.5327
      8  -7.6679  1.9697    -4.0402 -2.5464
      9  -7.9880  1.5654    -3.7378 -4.4858
     10  -8.1782  1.2286    -3.5776 -6.8955
     11  -8.2832  0.9806    -3.4946 -7.2725
     12  -8.3856  0.8204    -3.2466 -7.5215
     13  -8.4601  0.6987    -3.0496 -7.6896
     14  -8.5146  0.6075    -2.8972 -7.7993
     15  -8.5470  0.5421    -2.8190 -7.8927
     16  -8.5782  0.4955    -2.7209 -7.9384
     17  -8.5941  0.4655    -2.6828 -7.9646
     18  -8.6091  0.4445    -2.6393 -7.9920
     19  -8.7644  0.4190    -1.7318 -8.1830

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1005  0.0594     0.0044  0.1897
      1   0.1009  0.0593     0.0047  0.1898
      2   0.1033  0.0584     0.0072  0.1901
      3   0.1074  0.0569     0.0109  0.1906
      4   0.1104  0.0563     0.0128  0.1911
      5   0.0454  0.0387     0.0000  0.1205
      6   0.0069  0.0090     0.0000  0.0212
      7   0.0091  0.0093     0.0000  0.0240
      8   0.0108  0.0092     0.0000  0.0254
      9   0.0120  0.0090     0.0000  0.0261
     10   0.0127  0.0087     0.0001  0.0265
     11   0.0131  0.0086     0.0004  0.0267
     12   0.0142  0.0088     0.0006  0.0277
     13   0.0153  0.0091     0.0009  0.0296
     14   0.0163  0.0093     0.0011  0.0311
     15   0.0172  0.0094     0.0014  0.0321
     16   0.0181  0.0096     0.0017  0.0331
     17   0.0189  0.0096     0.0020  0.0337
     18   0.0196  0.0097     0.0025  0.0343
     19   0.0160  0.0074     0.0016  0.0267

