trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2804 400.00  0.00 800.00 52.14  1
  1 3761 490.00  0.00 800.00 521.43  1
  2 3778 660.00  0.00 800.00 521.43  1
  3 3783 710.00  0.00 800.00 521.43  1
  4 3786 740.00  0.00 800.00 521.43  1
  5 3786 720.00  0.00 800.00 469.29  0
  6 3773 610.00  0.00 800.00 521.43  0
  7 3002  10.00  0.00 800.00 130.36  1
  8 2923  10.00  0.00 800.00 104.29  1
  9 2923  30.00  0.00 800.00 78.21  1
 10 2844  10.00  0.00 800.00 78.21  1
 11 2844  10.00  0.00 800.00 52.14  1
 12 3767 550.00  0.00 800.00 521.43  1
 13 3769 570.00  0.00 800.00 521.43  1
 14 3770 580.00  0.00 800.00 521.43  1
 15 3770 570.00  0.00 800.00 469.29  1
 16 3771 590.00  0.00 800.00 521.43  1
 17 3771 570.00  0.00 800.00 469.29  1
 18 3771 590.00  0.00 800.00 469.29  1
 19 3791 790.00  0.00 800.00 521.43  1
