trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1728 700.00  0.00 800.00  6.00  0
  1 1778 410.00  0.00 800.00  7.00  1
  2 2250 390.00  0.00 800.00 21.43  1
  3 2642 360.00  0.00 800.00 42.86  1
  4 2956 340.00  0.00 800.00 104.29  1
  5 3752 400.00  0.00 800.00 521.43  1
  6 3769 570.00  0.00 800.00 521.43  0
  7 3761 490.00  0.00 800.00 521.43  0
  8 3591 370.00  0.00 800.00 417.14  0
  9 3274 360.00  0.00 800.00 208.57  0
 10  869  10.00  0.00 800.00  1.71  1
 11  237  10.00  0.00 800.00  0.57  1
 12 3118 380.00  0.00 800.00 156.43  0
 13 2880 370.00  0.00 800.00 78.21  1
 14 3126 460.00  0.00 800.00 156.43  0
 15 2955 330.00  0.00 800.00 104.29  0
 16    0  10.00  0.00 800.00  0.14  1
 17 2874 310.00  0.00 800.00 78.21  1
 18 2877 340.00  0.00 800.00 78.21  1
 19 3049 480.00  0.00 800.00 130.36  1
