Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.1137  1.6260    -5.0134 -0.2154
      1  -3.2342  1.3584    -6.6474 -2.1478
      2  -3.9858  1.4677    -7.9240 -3.0429
      3  -4.8214  1.7417    -8.7273 -3.4903
      4  -6.3465  1.7405    -9.1623 -4.0639
      5  -7.4653  1.4317    -5.8636 -5.3021
      6  -6.6933  1.3633    -8.8926 -4.6125
      7  -6.1864  1.2218    -8.0243 -4.2882
      8  -5.5644  1.3163    -7.4438 -3.2607
      9  -5.0001  1.4649    -7.4335 -2.1989
     10  -5.0467  1.2327    -6.8917 -3.1558
     11  -5.0739  1.0658    -6.6799 -3.5523
     12  -4.6847  1.0472    -6.2424 -3.2209
     13  -4.9012  0.9190    -6.2808 -3.7662
     14  -4.7319  0.8248    -5.9389 -3.7144
     15  -4.4357  0.9139    -5.6967 -3.3013
     16  -4.4316  0.7832    -5.5762 -3.4379
     17  -4.5697  0.6899    -5.6418 -3.7464
     18  -4.6834  0.6187    -5.7006 -3.9903
     19  -4.9208  0.7063    -5.9897 -4.1994

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0966  0.0608     0.0018  0.1892
      1   0.0931  0.0618     0.0011  0.1888
      2   0.0845  0.0628     0.0005  0.1872
      3   0.0610  0.0590     0.0001  0.1791
      4   0.0184  0.0153     0.0001  0.0445
      5   0.0155  0.0115     0.0001  0.0343
      6   0.0143  0.0112     0.0001  0.0331
      7   0.0146  0.0116     0.0001  0.0340
      8   0.0101  0.0073     0.0000  0.0204
      9   0.0074  0.0053     0.0000  0.0135
     10   0.0082  0.0050     0.0000  0.0137
     11   0.0088  0.0047     0.0001  0.0138
     12   0.0084  0.0044     0.0001  0.0134
     13   0.0089  0.0046     0.0001  0.0138
     14   0.0093  0.0048     0.0001  0.0152
     15   0.0083  0.0041     0.0001  0.0131
     16   0.0085  0.0039     0.0002  0.0132
     17   0.0090  0.0041     0.0003  0.0135
     18   0.0094  0.0043     0.0004  0.0138
     19   0.0081  0.0033     0.0002  0.0124

