Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6812  2.1330    -9.1090 -2.5034
      1  -3.8879  1.1623    -5.6864 -2.2895
      2  -4.7451  0.7357    -5.7655 -3.9824
      3  -5.2758  0.5982    -5.9529 -4.9052
      4  -5.4414  0.5419    -6.0331 -5.2537
      5  -5.5976  0.5622    -6.2979 -5.3846
      6  -5.5127  0.3461    -5.7921 -5.3794
      7  -5.5598  0.4480    -6.0117 -5.5354
      8  -5.8348  1.1591    -7.8900 -4.3990
      9  -5.7262  0.8600    -6.7586 -5.3008
     10  -5.6960  0.6590    -6.3104 -5.4351
     11  -5.5788  0.7228    -6.2212 -5.2843
     12  -5.6612  0.7927    -6.3409 -5.3117
     13  -5.6768  0.6024    -6.2351 -5.4633
     14  -5.7373  0.5415    -6.2596 -5.5539
     15  -5.7583  1.0865    -6.8964 -3.8963
     16  -5.8280  0.8271    -6.7072 -5.3987
     17  -5.8662  0.6341    -6.6118 -5.5555
     18  -5.8503  0.5011    -6.4887 -5.5729
     19  -5.8327  0.4035    -6.3563 -5.5800

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1030  0.0583     0.0074  0.1900
      1   0.1028  0.0585     0.0068  0.1900
      2   0.1029  0.0583     0.0074  0.1899
      3   0.1017  0.0589     0.0056  0.1898
      4   0.1041  0.0583     0.0070  0.1902
      5   0.1011  0.0589     0.0057  0.1897
      6   0.1137  0.0548     0.0171  0.1914
      7   0.1008  0.0557     0.0087  0.1874
      8   0.0262  0.0234     0.0000  0.0687
      9   0.0312  0.0239     0.0001  0.0737
     10   0.0352  0.0239     0.0006  0.0772
     11   0.0317  0.0213     0.0001  0.0682
     12   0.0282  0.0189     0.0001  0.0601
     13   0.0302  0.0185     0.0012  0.0613
     14   0.0322  0.0193     0.0022  0.0649
     15   0.0156  0.0109     0.0000  0.0323
     16   0.0167  0.0104     0.0001  0.0327
     17   0.0173  0.0101     0.0005  0.0329
     18   0.0186  0.0101     0.0011  0.0338
     19   0.0198  0.0101     0.0018  0.0347

