trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  778 680.00  0.00 800.00  1.43  1
  1 3359 420.00  0.00 800.00 260.71  0
  2 2647 410.00  0.00 800.00 42.86  1
  3 3041 400.00  0.00 800.00 130.36  1
  4 3198 390.00  0.00 800.00 182.50  1
  5 3279 410.00  0.00 800.00 208.57  1
  6 3435 390.00  0.00 800.00 312.86  0
  7 3279 400.00  0.00 800.00 260.71  1
  8 3435 390.00  0.00 800.00 365.00  1
  9 3755 430.00  0.00 800.00 521.43  0
 10 3598 440.00  0.00 800.00 417.14  0
 11 3434 380.00  0.00 800.00 312.86  0
 12 3435 390.00  0.00 800.00 312.86  1
 13 3681 480.00  0.00 800.00 469.29  0
 14 3358 410.00  0.00 800.00 260.71  1
 15 3598 440.00  0.00 800.00 417.14  1
 16 2133  10.00  0.00 800.00 17.14  1
 17 1975  10.00  0.00 800.00 12.86  1
 18 3683 500.00  0.00 800.00 469.29  0
 19 3603 490.00  0.00 800.00 417.14  0
