trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  252 160.00  0.00 800.00  0.57  1
  1 3041 400.00  0.00 800.00 130.36  1
  2 3766 540.00  0.00 800.00 521.43  1
  3 3780 680.00  0.00 800.00 521.43  0
  4 3774 620.00  0.00 800.00 521.43  0
  5 3770 580.00  0.00 800.00 521.43  1
  6 3775 630.00  0.00 800.00 521.43  1
  7 3780 680.00  0.00 800.00 521.43  1
  8 3002  10.00  0.00 800.00 130.36  1
  9 3786 740.00  0.00 800.00 521.43  0
 10 3786 750.00  0.00 800.00 469.29  1
 11 2923  10.00  0.00 800.00 104.29  1
 12 3762 500.00  0.00 800.00 521.43  1
 13 3766 540.00  0.00 800.00 521.43  1
 14 3791 790.00  0.00 800.00 521.43  0
 15 3789 770.00  0.00 800.00 521.43  0
 16 3788 760.00  0.00 800.00 521.43  0
 17 3788 760.00  0.00 800.00 469.29  1
 18 3770 580.00  0.00 800.00 521.43  1
 19 3771 590.00  0.00 800.00 521.43  1
