Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6113  2.7303    -9.0002 -0.4842
      1  -7.0404  1.4037    -7.9266 -5.1390
      2  -8.0847  0.9106    -4.1865 -7.1487
      3  -7.4783  0.7266    -8.4347 -6.9963
      4  -7.1843  0.6474    -7.8448 -6.8513
      5  -7.3551  0.6096    -7.9860 -7.1481
      6  -7.5212  0.9943    -8.7373 -7.0330
      7  -7.6408  1.5358    -9.2102 -4.0312
      8  -7.8300  1.1977    -8.9856 -6.8074
      9  -7.7927  1.0097    -9.0747 -7.1447
     10  -7.8845  1.4944    -5.8569 -4.6729
     11  -8.0594  1.1660    -5.6652 -7.0887
     12  -8.1716  0.9391    -5.4700 -7.4376
     13  -8.2450  0.7769    -5.3106 -7.6139
     14  -8.2014  0.6841    -7.0000 -7.6140
     15  -8.1424  0.6086    -9.1935 -7.5934
     16  -8.0811  0.5417    -9.0919 -7.5689
     17  -8.2645  0.6682    -6.9132 -7.6575
     18  -8.3148  0.5791    -6.6467 -7.7287
     19  -8.3537  0.5156    -6.4197 -7.8058

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0068  0.1898
      1   0.1016  0.0588     0.0066  0.1898
      2   0.1026  0.0584     0.0078  0.1899
      3   0.1001  0.0594     0.0059  0.1897
      4   0.1014  0.0593     0.0054  0.1899
      5   0.1023  0.0586     0.0065  0.1899
      6   0.0568  0.0462     0.0001  0.1485
      7   0.0225  0.0203     0.0000  0.0593
      8   0.0239  0.0201     0.0001  0.0605
      9   0.0276  0.0214     0.0003  0.0661
     10   0.0146  0.0107     0.0000  0.0319
     11   0.0154  0.0104     0.0001  0.0324
     12   0.0165  0.0105     0.0005  0.0333
     13   0.0177  0.0105     0.0010  0.0342
     14   0.0191  0.0109     0.0014  0.0366
     15   0.0207  0.0113     0.0019  0.0388
     16   0.0222  0.0117     0.0024  0.0406
     17   0.0173  0.0091     0.0013  0.0313
     18   0.0183  0.0091     0.0017  0.0323
     19   0.0193  0.0092     0.0023  0.0332

