trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3606 520.00  0.00 800.00 417.14  0
  1 2331 410.00  0.00 800.00 25.71  0
  2 1621 420.00  0.00 800.00  5.00  1
  3 2013 390.00  0.00 800.00 12.86  1
  4 2250 390.00  0.00 800.00 21.43  1
  5 2484 360.00  0.00 800.00 34.29  1
  6 2801 370.00  0.00 800.00 52.14  1
  7 3118 380.00  0.00 800.00 156.43  1
  8  948  10.00  0.00 800.00  1.86  1
  9 3595 410.00  0.00 800.00 417.14  0
 10 3200 410.00  0.00 800.00 182.50  0
 11 2963 410.00  0.00 800.00 104.29  0
 12    0  10.00  0.00 800.00  0.14  1
 13 2884 410.00  0.00 800.00 78.21  0
 14 2886 430.00  0.00 800.00 78.21  0
 15 2722 370.00  0.00 800.00 47.14  1
 16 2890 470.00  0.00 800.00 78.21  0
 17 2718 330.00  0.00 800.00 47.14  1
 18 2891 480.00  0.00 800.00 78.21  0
 19 2798 340.00  0.00 800.00 52.14  0
