trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3164  50.00  0.00 800.00 182.50  1
  1 3592 380.00  0.00 800.00 417.14  1
  2 3774 620.00  0.00 800.00 521.43  0
  3 3761 490.00  0.00 800.00 521.43  0
  4 3674 410.00  0.00 800.00 469.29  0
  5 3363 460.00  0.00 800.00 260.71  1
  6 3751 390.00  0.00 800.00 521.43  1
  7 3597 430.00  0.00 800.00 417.14  1
  8 3758 460.00  0.00 800.00 521.43  1
  9 3771 590.00  0.00 800.00 521.43  1
 10 2449  10.00  0.00 800.00 34.29  1
 11 2370  10.00  0.00 800.00 30.00  1
 12 2291  10.00  0.00 800.00 25.71  1
 13 3777 650.00  0.00 800.00 521.43  0
 14 3778 660.00  0.00 800.00 521.43  0
 15 3777 630.00  0.00 800.00 469.29  0
 16 3775 630.00  0.00 800.00 521.43  0
 17 3770 580.00  0.00 800.00 521.43  0
 18 3748 360.00  0.00 800.00 521.43  1
 19 3763 510.00  0.00 800.00 521.43  0
