Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7646  2.1399    -9.1215 -2.5744
      1  -7.5435  1.1864    -6.0829 -6.1295
      2  -6.6719  0.8348    -7.7298 -6.0393
      3  -6.2412  0.7183    -6.9414 -5.8085
      4  -5.9029  0.8302    -6.5428 -4.9427
      5  -6.0504  0.5081    -6.5428 -5.9584
      6  -6.1786  0.8466    -6.9991 -5.7708
      7  -6.2901  0.7753    -7.0762 -6.0702
      8  -6.4064  1.2537    -8.0511 -3.9131
      9  -6.4132  2.0173    -8.9176 -1.5701
     10  -6.7272  1.6710    -8.8928 -2.6200
     11  -6.9344  1.3568    -8.8742 -4.6016
     12  -7.0566  1.1133    -8.8619 -6.1444
     13  -6.9142  0.9433    -8.4513 -6.1991
     14  -6.8254  0.7795    -8.0447 -6.2392
     15  -6.7438  0.6504    -7.6976 -6.2342
     16  -6.6959  0.5391    -7.4989 -6.2365
     17  -6.6425  0.4606    -7.3342 -6.2129
     18  -6.6918  0.3988    -7.3449 -6.3428
     19  -6.6132  0.3627    -7.2268 -6.3161

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0592     0.0055  0.1896
      1   0.1011  0.0591     0.0055  0.1898
      2   0.0994  0.0598     0.0043  0.1896
      3   0.0997  0.0598     0.0040  0.1896
      4   0.0926  0.0617     0.0016  0.1886
      5   0.1061  0.0582     0.0072  0.1906
      6   0.0543  0.0425     0.0001  0.1362
      7   0.0573  0.0439     0.0001  0.1425
      8   0.0226  0.0193     0.0000  0.0566
      9   0.0075  0.0072     0.0000  0.0185
     10   0.0089  0.0070     0.0000  0.0193
     11   0.0099  0.0067     0.0000  0.0198
     12   0.0105  0.0065     0.0001  0.0200
     13   0.0117  0.0070     0.0002  0.0219
     14   0.0129  0.0073     0.0004  0.0238
     15   0.0140  0.0076     0.0007  0.0253
     16   0.0150  0.0077     0.0010  0.0262
     17   0.0159  0.0079     0.0012  0.0271
     18   0.0169  0.0080     0.0016  0.0277
     19   0.0174  0.0082     0.0017  0.0290

