Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5366  1.6747    -9.1961 -4.1709
      1  -5.1462  0.9487    -6.5296 -4.0257
      2  -5.7811  0.7104    -6.6206 -5.2707
      3  -5.4929  0.5730    -6.0559 -5.1359
      4  -5.2192  0.6103    -5.7571 -4.8150
      5  -5.2149  0.4795    -5.6831 -4.9222
      6  -5.2740  0.3345    -5.6872 -5.2693
      7  -5.2899  0.2504    -5.6877 -5.2779
      8  -5.2630  0.2208    -5.5217 -5.2759
      9  -5.2686  0.1677    -5.5216 -5.2791
     10  -5.3386  0.8383    -6.0471 -4.9486
     11  -5.2780  0.7703    -5.8568 -5.0137
     12  -5.2565  0.6381    -5.7527 -5.0909
     13  -5.2546  1.2189    -6.8838 -2.6292
     14  -5.3203  0.9267    -6.1083 -4.4850
     15  -5.3575  0.6979    -5.9816 -5.0182
     16  -5.3889  0.5344    -5.9305 -5.1705
     17  -5.3211  0.5361    -5.7911 -5.0874
     18  -5.3414  0.4125    -5.7855 -5.2041
     19  -5.3094  0.3510    -5.7597 -5.1918

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0593     0.0047  0.1898
      1   0.1006  0.0596     0.0040  0.1898
      2   0.1004  0.0596     0.0041  0.1897
      3   0.1029  0.0589     0.0059  0.1901
      4   0.0967  0.0606     0.0025  0.1892
      5   0.1029  0.0586     0.0074  0.1901
      6   0.1139  0.0549     0.0170  0.1915
      7   0.1205  0.0522     0.0258  0.1923
      8   0.1287  0.0503     0.0319  0.1937
      9   0.1347  0.0475     0.0420  0.1944
     10   0.0370  0.0272     0.0001  0.0849
     11   0.0418  0.0295     0.0001  0.0939
     12   0.0474  0.0305     0.0003  0.1004
     13   0.0212  0.0170     0.0000  0.0486
     14   0.0232  0.0164     0.0000  0.0499
     15   0.0245  0.0159     0.0001  0.0506
     16   0.0262  0.0156     0.0012  0.0518
     17   0.0262  0.0156     0.0012  0.0518
     18   0.0277  0.0153     0.0026  0.0528
     19   0.0299  0.0158     0.0039  0.0552

