trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2495 470.00  0.00 800.00 34.29  1
  1 3756 440.00  0.00 800.00 521.43  0
  2 3198 390.00  0.00 800.00 182.50  1
  3 3515 400.00  0.00 800.00 365.00  0
  4 3354 370.00  0.00 800.00 260.71  0
  5 3354 380.00  0.00 800.00 312.86  0
  6 3121 410.00  0.00 800.00 156.43  1
  7 3354 360.00  0.00 800.00 208.57  1
  8 3354 390.00  0.00 800.00 208.57  0
  9 3354 370.00  0.00 800.00 208.57  1
 10 3354 360.00  0.00 800.00 312.86  1
 11 3280 420.00  0.00 800.00 208.57  0
 12 3281 430.00  0.00 800.00 208.57  0
 13 3281 410.00  0.00 800.00 260.71  1
 14 2133  10.00  0.00 800.00 17.14  1
 15 1975  10.00  0.00 800.00 12.86  1
 16 3111 310.00  0.00 800.00 156.43  1
 17 3279 410.00  0.00 800.00 208.57  0
 18 3112 320.00  0.00 800.00 156.43  1
 19 3282 440.00  0.00 800.00 208.57  0
