trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3631 770.00  0.00 800.00 417.14  0
  1 2883 400.00  0.00 800.00 78.21  0
  2 1858 420.00  0.00 800.00  8.57  0
  3 1457 360.00  0.00 800.00  4.00  1
  4 1621 420.00  0.00 800.00  5.00  1
  5 1778 410.00  0.00 800.00  7.00  1
  6 1933 380.00  0.00 800.00 10.71  1
  7 2169 370.00  0.00 800.00 17.14  1
  8 2488 400.00  0.00 800.00 34.29  1
  9 2967 450.00  0.00 800.00 104.29  0
 10 2811 470.00  0.00 800.00 52.14  0
 11 2410 410.00  0.00 800.00 30.00  1
 12 2812 480.00  0.00 800.00 52.14  0
 13 2732 470.00  0.00 800.00 47.14  0
 14 2325 350.00  0.00 800.00 25.71  1
 15 2732 460.00  0.00 800.00 42.86  1
 16 2555 280.00  0.00 800.00 38.57  1
 17 2818 540.00  0.00 800.00 52.14  0
 18 2560 330.00  0.00 800.00 38.57  1
 19 2816 520.00  0.00 800.00 52.14  0
