Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4807  2.6688    -8.8132 -0.4689
      1  -2.1788  1.3974    -4.3452 -0.2364
      2  -1.1431  0.9146    -2.3385 -0.1303
      3  -1.7816  0.6913    -2.5023 -1.3116
      4  -2.0635  0.6271    -2.6563 -1.7349
      5  -2.2361  0.6341    -2.9871 -1.9835
      6  -2.6721  1.0339    -4.6674 -2.1187
      7  -3.3750  1.3650    -6.4989 -2.2086
      8  -4.1924  1.5766    -7.7711 -2.4153
      9  -3.7912  1.2207    -6.1733 -2.4663
     10  -3.5444  1.0263    -5.1426 -2.4612
     11  -3.8122  0.9984    -5.3959 -2.7775
     12  -3.6563  0.8497    -4.8195 -2.7674
     13  -3.5370  0.7349    -4.4760 -2.7423
     14  -3.6274  0.6361    -4.4930 -2.9712
     15  -3.8592  0.7440    -4.8389 -3.1735
     16  -3.9035  0.6358    -4.8035 -3.3025
     17  -3.8391  0.5379    -4.6325 -3.2919
     18  -3.8958  0.4743    -4.6549 -3.4457
     19  -3.8459  0.4110    -4.4971 -3.4369

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1027  0.0585     0.0073  0.1900
      1   0.1016  0.0588     0.0066  0.1898
      2   0.1020  0.0586     0.0073  0.1898
      3   0.1007  0.0591     0.0058  0.1897
      4   0.1003  0.0591     0.0055  0.1896
      5   0.0990  0.0600     0.0046  0.1896
      6   0.0426  0.0389     0.0001  0.1201
      7   0.0147  0.0123     0.0001  0.0356
      8   0.0082  0.0055     0.0000  0.0154
      9   0.0093  0.0058     0.0000  0.0175
     10   0.0103  0.0061     0.0001  0.0188
     11   0.0100  0.0059     0.0001  0.0182
     12   0.0109  0.0060     0.0001  0.0192
     13   0.0116  0.0062     0.0003  0.0199
     14   0.0124  0.0064     0.0005  0.0206
     15   0.0107  0.0057     0.0001  0.0186
     16   0.0114  0.0058     0.0004  0.0193
     17   0.0121  0.0058     0.0006  0.0198
     18   0.0128  0.0060     0.0008  0.0203
     19   0.0135  0.0060     0.0010  0.0207

