trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3537 620.00  0.00 800.00 365.00  1
  1 3780 680.00  0.00 800.00 521.43  0
  2 3774 620.00  0.00 800.00 521.43  0
  3 3770 580.00  0.00 800.00 521.43  0
  4 3764 520.00  0.00 800.00 521.43  0
  5 3360 430.00  0.00 800.00 260.71  0
  6    0  10.00  0.00 800.00  0.14  1
  7 2639 330.00  0.00 800.00 42.86  1
  8    0  20.00  0.00 800.00  0.29  0
  9    0  20.00  0.00 800.00  0.29  1
 10    0  20.00  0.00 800.00  0.29  0
 11 2962 400.00  0.00 800.00 104.29  1
 12 2449  10.00  0.00 800.00 34.29  1
 13 2133  10.00  0.00 800.00 17.14  1
 14 3041 400.00  0.00 800.00 130.36  1
 15 2844  10.00  0.00 800.00 78.21  1
 16 2133  10.00  0.00 800.00 17.14  1
 17 2133  20.00  0.00 800.00 15.00  0
 18 2962 400.00  0.00 800.00 104.29  1
 19 2962 390.00  0.00 800.00 78.21  1
