trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3112 320.00  0.00 800.00 156.43  0
  1 1858 420.00  0.00 800.00  8.57  1
  2 2565 380.00  0.00 800.00 38.57  0
  3 2250 390.00  0.00 800.00 21.43  1
  4 2331 410.00  0.00 800.00 25.71  1
  5 2566 390.00  0.00 800.00 38.57  0
  6 2255 440.00  0.00 800.00 21.43  0
  7 2331 410.00  0.00 800.00 25.71  1
  8 2330 400.00  0.00 800.00 25.71  1
  9 2329 390.00  0.00 800.00 25.71  1
 10 2568 410.00  0.00 800.00 38.57  0
 11 2329 390.00  0.00 800.00 30.00  0
 12 2329 410.00  0.00 800.00 21.43  1
 13 2330 400.00  0.00 800.00 25.71  1
 14 2329 390.00  0.00 800.00 21.43  0
 15 3633 790.00  0.00 800.00 417.14  0
 16 3554 790.00  0.00 800.00 365.00  0
 17 2576 490.00  0.00 800.00 38.57  0
 18 2573 460.00  0.00 800.00 38.57  0
 19 2330 400.00  0.00 800.00 25.71  1
