Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3480  1.5182    -4.6436 -0.2520
      1  -3.4852  0.9297    -4.7317 -2.4321
      2  -2.9424  0.7223    -3.6977 -2.3821
      3  -3.3429  0.6521    -3.9313 -2.9739
      4  -3.5056  0.6355    -4.1372 -3.2437
      5  -3.4363  0.4719    -3.7329 -3.2488
      6  -3.3488  0.9032    -4.2204 -2.8015
      7  -3.4887  0.9504    -4.7749 -2.9768
      8  -3.5089  0.8062    -4.2170 -3.1990
      9  -3.4961  0.6370    -3.9511 -3.3135
     10  -3.4527  0.4745    -3.7244 -3.3380
     11  -3.4390  0.6202    -3.7311 -3.2066
     12  -3.4360  0.4770    -3.6877 -3.2588
     13  -3.4429  0.3773    -3.6862 -3.4222
     14  -3.5696  1.2108    -6.5866 -2.7625
     15  -3.4741  0.9153    -4.4998 -3.0931
     16  -3.4200  0.6839    -3.9694 -3.1704
     17  -3.3797  0.5187    -3.8351 -3.1766
     18  -3.3546  0.3983    -3.6928 -3.1801
     19  -3.3960  0.3578    -3.7420 -3.2071

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1002  0.0595     0.0037  0.1897
      1   0.1000  0.0596     0.0035  0.1896
      2   0.1010  0.0593     0.0045  0.1898
      3   0.0992  0.0598     0.0029  0.1895
      4   0.0991  0.0602     0.0026  0.1896
      5   0.1106  0.0569     0.0102  0.1913
      6   0.0535  0.0417     0.0001  0.1320
      7   0.0500  0.0394     0.0001  0.1229
      8   0.0576  0.0411     0.0001  0.1324
      9   0.0641  0.0410     0.0014  0.1378
     10   0.0696  0.0398     0.0083  0.1414
     11   0.0545  0.0331     0.0020  0.1118
     12   0.0589  0.0326     0.0080  0.1152
     13   0.0635  0.0326     0.0125  0.1198
     14   0.0234  0.0177     0.0000  0.0521
     15   0.0254  0.0170     0.0001  0.0530
     16   0.0266  0.0165     0.0002  0.0534
     17   0.0284  0.0161     0.0018  0.0543
     18   0.0300  0.0158     0.0036  0.0552
     19   0.0313  0.0159     0.0046  0.0566

