trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2512 640.00  0.00 800.00 34.29  0
  1 2013 390.00  0.00 800.00 12.86  0
  2 1381 390.00  0.00 800.00  3.50  1
  3 1778 410.00  0.00 800.00  7.00  0
  4 1621 420.00  0.00 800.00  5.00  0
  5 1539 390.00  0.00 800.00  4.50  0
  6 1380 380.00  0.00 800.00  3.50  1
  7 1463 420.00  0.00 800.00  4.00  0
  8 1380 400.00  0.00 800.00  3.00  1
  9 1463 400.00  0.00 800.00  3.50  0
 10 1304 410.00  0.00 800.00  3.00  1
 11 1304 400.00  0.00 800.00  2.57  0
 12 2843 790.00  0.00 800.00 52.14  0
 13 1140 350.00  0.00 800.00  2.29  1
 14 1304 410.00  0.00 800.00  3.00  1
 15 1378 360.00  0.00 800.00  3.50  1
 16 1378 350.00  0.00 800.00  4.00  1
 17 1544 440.00  0.00 800.00  4.50  1
 18 1708 500.00  0.00 800.00  6.00  0
 19 1627 480.00  0.00 800.00  5.00  0
