Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5355  1.6537    -4.9861 -0.2688
      1  -1.3153  1.0852    -2.6147 -0.1446
      2  -1.9492  0.8377    -2.7711 -1.3407
      3  -1.6574  0.7146    -2.2504 -1.2525
      4  -1.4897  0.6268    -1.9312 -1.1497
      5  -1.3448  0.6183    -1.7512 -1.0209
      6  -1.3702  0.4677    -1.7436 -1.3257
      7  -1.3350  0.3524    -1.5815 -1.3257
      8  -1.3363  0.2560    -1.5809 -1.3331
      9  -1.3331  0.4412    -1.5793 -1.1911
     10  -1.3378  0.3316    -1.5787 -1.3295
     11  -1.5438  1.4244    -5.1271 -0.7778
     12  -1.3679  1.0710    -2.0936 -0.7994
     13  -1.3177  0.8325    -1.7901 -0.9320
     14  -1.3674  0.7704    -1.8056 -1.0755
     15  -1.3689  0.6392    -1.7822 -1.1136
     16  -1.3757  0.5391    -1.7761 -1.1823
     17  -1.6416  1.0772    -2.7091 -1.1920
     18  -1.5273  0.8247    -2.0989 -1.1989
     19  -1.4542  0.6388    -1.9269 -1.1999

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0992  0.0599     0.0035  0.1895
      1   0.1005  0.0594     0.0043  0.1897
      2   0.1001  0.0597     0.0038  0.1897
      3   0.1016  0.0589     0.0057  0.1898
      4   0.1040  0.0583     0.0077  0.1902
      5   0.1019  0.0590     0.0069  0.1900
      6   0.1133  0.0554     0.0153  0.1915
      7   0.1208  0.0528     0.0228  0.1925
      8   0.1254  0.0499     0.0331  0.1929
      9   0.0954  0.0501     0.0145  0.1801
     10   0.1025  0.0482     0.0229  0.1823
     11   0.0253  0.0196     0.0000  0.0588
     12   0.0268  0.0191     0.0001  0.0596
     13   0.0295  0.0189     0.0010  0.0615
     14   0.0315  0.0196     0.0015  0.0646
     15   0.0345  0.0200     0.0029  0.0679
     16   0.0373  0.0206     0.0045  0.0716
     17   0.0192  0.0124     0.0001  0.0393
     18   0.0208  0.0122     0.0006  0.0402
     19   0.0224  0.0121     0.0017  0.0413

