Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.8117  2.4270    -8.3098 -0.3874
      1  -5.7463  1.5746    -8.8432 -3.8211
      2  -4.5899  0.7853    -5.7347 -3.7326
      3  -5.1197  0.5771    -5.7866 -4.7010
      4  -4.8503  0.4798    -5.3782 -4.5518
      5  -5.0092  0.4419    -5.4750 -4.8307
      6  -5.1902  0.7822    -6.0336 -4.8164
      7  -5.2900  0.7214    -6.1267 -5.0315
      8  -5.2338  0.5227    -5.6902 -5.0469
      9  -5.0938  0.7762    -5.7242 -4.7500
     10  -5.0144  0.7439    -5.5264 -4.6753
     11  -4.9860  0.6199    -5.4730 -4.7653
     12  -4.7356  1.4026    -7.4506 -1.8112
     13  -4.7723  1.0989    -6.1326 -3.0088
     14  -4.7938  0.8541    -5.5207 -3.8413
     15  -4.4938  1.3162    -7.0206 -2.1280
     16  -4.4940  1.0566    -5.7026 -3.0088
     17  -4.4940  0.8600    -5.4353 -3.4073
     18  -4.5959  0.7024    -5.4096 -3.8041
     19  -4.6652  0.5782    -5.3991 -4.0523

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0586     0.0065  0.1898
      1   0.1023  0.0584     0.0069  0.1898
      2   0.1042  0.0581     0.0076  0.1902
      3   0.1054  0.0576     0.0085  0.1903
      4   0.1042  0.0574     0.0092  0.1900
      5   0.1055  0.0568     0.0104  0.1901
      6   0.0570  0.0431     0.0001  0.1395
      7   0.0608  0.0446     0.0001  0.1463
      8   0.0690  0.0441     0.0047  0.1521
      9   0.0426  0.0294     0.0001  0.0938
     10   0.0442  0.0303     0.0001  0.0970
     11   0.0492  0.0313     0.0007  0.1033
     12   0.0150  0.0139     0.0000  0.0385
     13   0.0170  0.0137     0.0000  0.0398
     14   0.0183  0.0133     0.0001  0.0405
     15   0.0086  0.0065     0.0000  0.0181
     16   0.0095  0.0062     0.0000  0.0186
     17   0.0101  0.0060     0.0001  0.0188
     18   0.0111  0.0062     0.0002  0.0198
     19   0.0120  0.0063     0.0004  0.0204

