trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2132 790.00  0.00 800.00 15.00  0
  1 2489 410.00  0.00 800.00 34.29  1
  2 3359 420.00  0.00 800.00 260.71  0
  3 2961 390.00  0.00 800.00 104.29  1
  4 3122 420.00  0.00 800.00 156.43  0
  5 3041 400.00  0.00 800.00 130.36  1
  6 3198 390.00  0.00 800.00 182.50  1
  7 3197 380.00  0.00 800.00 182.50  1
  8 3356 390.00  0.00 800.00 260.71  0
  9 3121 410.00  0.00 800.00 156.43  0
 10 3122 420.00  0.00 800.00 156.43  0
 11 3199 400.00  0.00 800.00 182.50  0
 12 2961 390.00  0.00 800.00 104.29  0
 13 1501  10.00  0.00 800.00  4.50  1
 14 1422  10.00  0.00 800.00  4.00  1
 15 2954 320.00  0.00 800.00 104.29  0
 16  237  10.00  0.00 800.00  0.57  1
 17  237  10.00  0.00 800.00  0.71  1
 18 2871 280.00  0.00 800.00 78.21  1
 19 2872 290.00  0.00 800.00 78.21  1
