Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5962  2.1752    -7.0765 -0.3794
      1  -5.4028  1.2181    -7.3135 -3.8084
      2  -4.4817  0.7435    -5.5057 -3.7207
      3  -4.8856  0.5585    -5.5929 -4.4844
      4  -5.1561  0.4973    -5.7447 -4.8838
      5  -4.9900  0.4355    -5.4504 -4.7875
      6  -4.9641  0.3353    -5.2618 -4.7915
      7  -4.7634  0.5999    -5.2557 -4.3315
      8  -4.6773  0.5556    -5.1863 -4.2581
      9  -4.4256  0.8952    -5.1927 -3.2671
     10  -4.5174  0.6799    -5.1124 -3.9706
     11  -4.5798  0.5440    -5.0891 -4.2506
     12  -4.4915  0.5461    -4.9877 -4.1650
     13  -4.5280  0.4344    -4.9857 -4.2891
     14  -4.4807  0.3849    -4.9439 -4.2681
     15  -4.5003  0.3017    -4.9436 -4.3420
     16  -4.4760  0.2501    -4.8783 -4.3297
     17  -4.4909  0.1996    -4.8856 -4.4409
     18  -4.4786  0.1606    -4.7945 -4.4333
     19  -4.4986  0.1645    -4.8833 -4.4850

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0591     0.0057  0.1897
      1   0.1005  0.0593     0.0056  0.1897
      2   0.1014  0.0590     0.0057  0.1898
      3   0.1023  0.0585     0.0073  0.1899
      4   0.1015  0.0586     0.0070  0.1897
      5   0.1031  0.0580     0.0083  0.1899
      6   0.1116  0.0559     0.0147  0.1913
      7   0.0559  0.0405     0.0016  0.1333
      8   0.0570  0.0415     0.0024  0.1372
      9   0.0242  0.0186     0.0001  0.0564
     10   0.0276  0.0187     0.0001  0.0597
     11   0.0310  0.0191     0.0017  0.0633
     12   0.0295  0.0181     0.0015  0.0600
     13   0.0322  0.0182     0.0037  0.0625
     14   0.0341  0.0191     0.0049  0.0664
     15   0.0363  0.0190     0.0076  0.0684
     16   0.0387  0.0196     0.0088  0.0720
     17   0.0411  0.0197     0.0106  0.0744
     18   0.0432  0.0199     0.0126  0.0766
     19   0.0425  0.0195     0.0125  0.0751

