Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.6922  1.6005    -9.1384 -4.4867
      1  -5.4326  0.9502    -6.7967 -4.3185
      2  -4.7715  0.6971    -5.5366 -4.2312
      3  -4.4909  0.6196    -5.0970 -4.0879
      4  -4.7294  0.5798    -5.2417 -4.4973
      5  -4.7524  0.4275    -5.2198 -4.5756
      6  -4.7192  0.3207    -5.0009 -4.5761
      7  -4.7981  0.6994    -5.4365 -4.5347
      8  -4.7457  0.5800    -5.2199 -4.5583
      9  -4.8418  1.1000    -6.4757 -3.0952
     10  -4.8629  0.8374    -5.7177 -4.3211
     11  -4.8486  0.6454    -5.4224 -4.5199
     12  -4.9301  0.6404    -5.4910 -4.6669
     13  -4.9154  0.5038    -5.3267 -4.7434
     14  -4.8183  0.6055    -5.2661 -4.5283
     15  -4.8399  0.4646    -5.2603 -4.6770
     16  -4.7880  0.4272    -5.2380 -4.6256
     17  -4.8167  0.3694    -5.2434 -4.7459
     18  -4.8993  0.4872    -5.2852 -4.7499
     19  -4.9451  0.4429    -5.3290 -4.7709

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1006  0.0594     0.0043  0.1897
      1   0.1001  0.0597     0.0037  0.1897
      2   0.1001  0.0599     0.0032  0.1897
      3   0.1008  0.0597     0.0038  0.1899
      4   0.0989  0.0596     0.0029  0.1894
      5   0.1046  0.0572     0.0098  0.1901
      6   0.1140  0.0545     0.0185  0.1915
      7   0.0573  0.0421     0.0001  0.1372
      8   0.0655  0.0436     0.0017  0.1467
      9   0.0278  0.0232     0.0000  0.0680
     10   0.0301  0.0227     0.0001  0.0692
     11   0.0331  0.0224     0.0002  0.0718
     12   0.0340  0.0234     0.0001  0.0747
     13   0.0372  0.0234     0.0024  0.0779
     14   0.0294  0.0180     0.0006  0.0593
     15   0.0315  0.0176     0.0028  0.0606
     16   0.0326  0.0178     0.0035  0.0617
     17   0.0346  0.0180     0.0055  0.0643
     18   0.0283  0.0154     0.0022  0.0531
     19   0.0299  0.0160     0.0030  0.0555

