Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.1963  1.9503    -6.2963 -0.3393
      1  -4.7305  1.1325    -6.4777 -3.2638
      2  -3.9576  0.7485    -4.9763 -3.1908
      3  -3.4390  0.6227    -4.1182 -2.9865
      4  -3.2582  0.5694    -3.7382 -2.8648
      5  -3.4404  0.4787    -3.8696 -3.2372
      6  -3.4622  0.3569    -3.8576 -3.4323
      7  -3.4332  0.2633    -3.6845 -3.4323
      8  -3.4412  0.2263    -3.6863 -3.4385
      9  -3.5482  0.5402    -4.0178 -3.4368
     10  -3.7482  0.7682    -4.5970 -3.4461
     11  -3.6894  0.5820    -4.1770 -3.4564
     12  -3.6195  0.7141    -4.1740 -3.4278
     13  -3.5471  0.6793    -3.9932 -3.3628
     14  -3.4935  0.5717    -3.9173 -3.3839
     15  -3.4601  0.4507    -3.8511 -3.4275
     16  -3.4374  0.3756    -3.6894 -3.4277
     17  -3.4276  0.9556    -4.4300 -2.6772
     18  -3.4178  0.7391    -3.8819 -2.9729
     19  -3.4146  0.5664    -3.8036 -3.1697

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0593     0.0051  0.1898
      1   0.1005  0.0595     0.0049  0.1898
      2   0.1012  0.0591     0.0057  0.1898
      3   0.0994  0.0596     0.0043  0.1895
      4   0.1023  0.0594     0.0052  0.1901
      5   0.1057  0.0582     0.0073  0.1906
      6   0.1147  0.0554     0.0154  0.1918
      7   0.1231  0.0519     0.0263  0.1928
      8   0.1287  0.0503     0.0323  0.1937
      9   0.0686  0.0448     0.0039  0.1527
     10   0.0395  0.0286     0.0001  0.0896
     11   0.0435  0.0281     0.0018  0.0926
     12   0.0363  0.0237     0.0001  0.0765
     13   0.0390  0.0251     0.0001  0.0818
     14   0.0435  0.0260     0.0021  0.0874
     15   0.0474  0.0260     0.0057  0.0909
     16   0.0513  0.0266     0.0081  0.0955
     17   0.0221  0.0160     0.0000  0.0483
     18   0.0247  0.0157     0.0001  0.0503
     19   0.0268  0.0154     0.0013  0.0518

