Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2657  2.0152    -6.4568 -0.3443
      1  -4.8103  1.2289    -6.7553 -3.2585
      2  -3.9510  0.7518    -4.9744 -3.1822
      3  -3.4334  0.6143    -4.1106 -2.9757
      4  -3.7314  0.5938    -4.3282 -3.4472
      5  -3.9773  0.8529    -5.1595 -3.4852
      6  -4.0873  0.7987    -5.2242 -3.7139
      7  -3.9775  0.6029    -4.5213 -3.7234
      8  -3.9990  0.4849    -4.4707 -3.8449
      9  -3.9605  0.3644    -4.2759 -3.8504
     10  -3.9365  0.3585    -4.2098 -3.7791
     11  -3.8547  0.5876    -4.2130 -3.6767
     12  -3.7679  0.6223    -4.2000 -3.5198
     13  -3.8732  0.7670    -4.3914 -3.5229
     14  -3.8914  0.6326    -4.2769 -3.6984
     15  -3.9583  0.6535    -4.3904 -3.7234
     16  -3.9393  1.0624    -5.9861 -3.1722
     17  -3.8914  0.7983    -4.5157 -3.5129
     18  -3.8592  0.6032    -4.3188 -3.6179
     19  -3.8561  0.4607    -4.2365 -3.6975

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0594     0.0051  0.1896
      1   0.0993  0.0595     0.0050  0.1895
      2   0.1011  0.0590     0.0058  0.1897
      3   0.0992  0.0594     0.0046  0.1894
      4   0.0947  0.0597     0.0030  0.1883
      5   0.0538  0.0453     0.0001  0.1434
      6   0.0547  0.0460     0.0001  0.1463
      7   0.0653  0.0466     0.0015  0.1547
      8   0.0724  0.0473     0.0049  0.1608
      9   0.0803  0.0464     0.0106  0.1652
     10   0.0802  0.0460     0.0113  0.1648
     11   0.0463  0.0292     0.0016  0.0967
     12   0.0427  0.0274     0.0008  0.0896
     13   0.0343  0.0225     0.0001  0.0718
     14   0.0378  0.0226     0.0004  0.0751
     15   0.0383  0.0236     0.0001  0.0778
     16   0.0224  0.0163     0.0000  0.0482
     17   0.0241  0.0157     0.0001  0.0490
     18   0.0258  0.0152     0.0006  0.0502
     19   0.0272  0.0148     0.0023  0.0511

