trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3282 440.00  0.00 800.00 208.57  0
  1 2013 390.00  0.00 800.00 12.86  1
  2 2806 420.00  0.00 800.00 52.14  1
  3 3041 400.00  0.00 800.00 130.36  0
  4 2883 400.00  0.00 800.00 78.21  0
  5 2806 420.00  0.00 800.00 52.14  1
  6 2883 390.00  0.00 800.00 104.29  1
  7 1659  10.00  0.00 800.00  6.00  1
  8 3044 430.00  0.00 800.00 130.36  0
  9 2881 380.00  0.00 800.00 78.21  0
 10 2796 320.00  0.00 800.00 52.14  1
 11 2967 450.00  0.00 800.00 104.29  0
 12 2883 400.00  0.00 800.00 78.21  0
 13 2800 360.00  0.00 800.00 52.14  1
 14 2885 420.00  0.00 800.00 78.21  0
 15 2803 390.00  0.00 800.00 52.14  1
 16 2885 400.00  0.00 800.00 104.29  1
 17 2797 330.00  0.00 800.00 52.14  1
 18 2872 290.00  0.00 800.00 78.21  1
 19 2883 400.00  0.00 800.00 78.21  1
