Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.7827  1.7281    -5.4933 -0.2972
      1  -4.0499  1.0447    -5.6460 -2.7230
      2  -4.8238  0.7167    -5.7564 -4.2012
      3  -4.4611  0.5579    -5.0757 -4.0434
      4  -4.1878  0.5848    -4.7101 -3.7756
      5  -4.2512  0.4371    -4.7060 -4.1660
      6  -4.5553  1.1575    -6.7419 -2.9305
      7  -4.5505  0.9079    -5.8055 -3.7886
      8  -4.4798  0.7128    -5.2192 -3.9680
      9  -4.3126  0.9219    -5.3393 -3.3772
     10  -4.3445  0.7200    -5.0872 -3.8313
     11  -4.3070  0.5724    -4.9115 -3.9157
     12  -4.2226  0.5472    -4.7341 -3.8043
     13  -4.2552  0.4278    -4.7294 -3.9918
     14  -4.2148  0.3640    -4.6865 -3.9836
     15  -4.2403  0.2897    -4.6886 -4.0651
     16  -4.3479  0.5423    -4.8993 -4.0316
     17  -4.3586  0.4254    -4.8686 -4.1229
     18  -4.3721  0.3448    -4.8563 -4.2194
     19  -4.4326  0.3404    -4.9231 -4.2407

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1006  0.0594     0.0046  0.1897
      1   0.1006  0.0594     0.0048  0.1897
      2   0.1002  0.0594     0.0045  0.1897
      3   0.1010  0.0589     0.0057  0.1897
      4   0.0947  0.0600     0.0029  0.1884
      5   0.1066  0.0576     0.0088  0.1906
      6   0.0260  0.0243     0.0000  0.0698
      7   0.0282  0.0240     0.0001  0.0717
      8   0.0322  0.0246     0.0001  0.0759
      9   0.0223  0.0178     0.0001  0.0532
     10   0.0249  0.0178     0.0001  0.0553
     11   0.0273  0.0179     0.0010  0.0580
     12   0.0282  0.0189     0.0012  0.0610
     13   0.0308  0.0190     0.0028  0.0636
     14   0.0334  0.0199     0.0040  0.0679
     15   0.0362  0.0202     0.0068  0.0709
     16   0.0214  0.0118     0.0010  0.0398
     17   0.0226  0.0116     0.0022  0.0405
     18   0.0238  0.0116     0.0034  0.0413
     19   0.0237  0.0116     0.0032  0.0413

