trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2746 610.00  0.00 800.00 47.14  1
  1 3766 540.00  0.00 800.00 521.43  1
  2 3780 680.00  0.00 800.00 521.43  1
  3 3784 720.00  0.00 800.00 521.43  0
  4 3783 710.00  0.00 800.00 521.43  0
  5 3780 680.00  0.00 800.00 521.43  1
  6 3783 690.00  0.00 800.00 469.29  0
  7 3780 700.00  0.00 800.00 469.29  0
  8 3775 630.00  0.00 800.00 521.43  0
  9 2923  10.00  0.00 800.00 104.29  1
 10 3761 490.00  0.00 800.00 521.43  1
 11 3767 550.00  0.00 800.00 521.43  1
 12 3771 590.00  0.00 800.00 521.43  1
 13 3786 740.00  0.00 800.00 521.43  1
 14 3002  10.00  0.00 800.00 130.36  1
 15 3759 470.00  0.00 800.00 521.43  1
 16 3791 790.00  0.00 800.00 521.43  0
 17 3791 770.00  0.00 800.00 469.29  0
 18 3789 770.00  0.00 800.00 521.43  0
 19 3772 600.00  0.00 800.00 521.43  1
