Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.0742  1.4348    -7.7161 -5.2131
      1  -8.0319  1.0566    -4.2327 -7.1202
      2  -8.5196  0.9190    -2.4265 -7.9203
      3  -8.1425  0.9507    -9.1108 -7.6322
      4  -8.0091  0.8669    -8.7404 -7.5390
      5  -8.1322  0.7295    -8.8017 -7.9329
      6  -7.8649  1.1363    -8.7767 -6.9061
      7  -7.7728  1.1160    -8.5846 -6.8256
      8  -7.0169  1.9001    -8.7421 -2.0795
      9  -7.3282  1.5065    -8.7068 -3.6637
     10  -7.5461  1.1931    -8.6898 -6.1594
     11  -7.6886  0.9487    -8.6817 -7.1495
     12  -7.7870  0.7701    -8.6831 -7.4104
     13  -7.8189  1.3531    -9.1777 -5.4137
     14  -7.9646  1.0452    -9.1811 -7.3054
     15  -8.0497  0.8272    -9.1802 -7.4966
     16  -8.0294  0.6941    -9.0894 -7.5285
     17  -7.9937  0.5928    -8.9436 -7.5343
     18  -7.9648  0.5045    -8.8238 -7.5379
     19  -8.0102  0.4413    -8.8387 -7.6493

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1006  0.0595     0.0033  0.1897
      1   0.1017  0.0590     0.0049  0.1899
      2   0.1037  0.0582     0.0074  0.1901
      3   0.0962  0.0596     0.0029  0.1888
      4   0.1011  0.0598     0.0042  0.1900
      5   0.1121  0.0582     0.0096  0.1920
      6   0.0758  0.0548     0.0001  0.1742
      7   0.0741  0.0534     0.0001  0.1706
      8   0.0215  0.0218     0.0000  0.0607
      9   0.0242  0.0217     0.0000  0.0630
     10   0.0274  0.0218     0.0001  0.0664
     11   0.0307  0.0221     0.0004  0.0696
     12   0.0340  0.0227     0.0020  0.0740
     13   0.0176  0.0124     0.0001  0.0377
     14   0.0184  0.0120     0.0001  0.0382
     15   0.0195  0.0119     0.0009  0.0390
     16   0.0211  0.0121     0.0016  0.0406
     17   0.0227  0.0124     0.0023  0.0426
     18   0.0242  0.0126     0.0032  0.0445
     19   0.0257  0.0128     0.0045  0.0464

