Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9588  2.0133    -9.1394 -3.0336
      1  -4.4127  1.2270    -6.2232 -2.7334
      2  -3.4546  0.9042    -4.4707 -1.9900
      3  -2.9615  0.8668    -3.7566 -1.2443
      4  -2.4824  0.9786    -3.3640 -0.6064
      5  -1.9410  1.0762    -3.0810 -0.2977
      6  -1.2481  1.0392    -2.5554 -0.1465
      7  -0.7689  0.9752    -1.9283 -0.0817
      8  -0.5120  0.9087    -1.4154 -0.0545
      9  -0.3552  0.8418    -1.0413 -0.0407
     10  -0.2529  0.7360    -0.7843 -0.0343
     11  -0.1862  0.5936    -0.6675 -0.0316
     12  -0.1434  0.4644    -0.5319 -0.0301
     13  -0.0963  0.4216    -0.4968 -0.0267
     14  -0.0723  0.3286    -0.4720 -0.0259
     15  -0.0507  0.2655    -0.4279 -0.0249
     16  -0.0387  0.2051    -0.3858 -0.0244
     17  -0.0293  0.1591    -0.3165 -0.0240
     18  -0.0223  0.1231    -0.2698 -0.0237
     19  -0.0184  0.0941    -0.2668 -0.0236

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0594     0.0051  0.1896
      1   0.0993  0.0595     0.0050  0.1895
      2   0.0971  0.0601     0.0043  0.1892
      3   0.0932  0.0609     0.0037  0.1886
      4   0.0763  0.0603     0.0021  0.1842
      5   0.0447  0.0431     0.0012  0.1402
      6   0.0230  0.0174     0.0007  0.0535
      7   0.0201  0.0142     0.0006  0.0445
      8   0.0205  0.0140     0.0008  0.0443
      9   0.0216  0.0143     0.0010  0.0459
     10   0.0234  0.0149     0.0015  0.0484
     11   0.0255  0.0154     0.0024  0.0516
     12   0.0273  0.0156     0.0036  0.0537
     13   0.0280  0.0154     0.0043  0.0538
     14   0.0297  0.0156     0.0062  0.0556
     15   0.0315  0.0160     0.0075  0.0582
     16   0.0331  0.0161     0.0083  0.0600
     17   0.0346  0.0163     0.0093  0.0615
     18   0.0362  0.0164     0.0104  0.0635
     19   0.0376  0.0165     0.0117  0.0651

