trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3010  90.00  0.00 800.00 130.36  1
  1 3674 410.00  0.00 800.00 469.29  0
  2 2883 400.00  0.00 800.00 78.21  0
  3 2412 430.00  0.00 800.00 30.00  0
  4 2176 440.00  0.00 800.00 17.14  0
  5 1942 470.00  0.00 800.00 10.71  0
  6 1779 420.00  0.00 800.00  7.00  0
  7 1304 410.00  0.00 800.00  3.00  0
  8 1066 400.00  0.00 800.00  2.00  0
  9  829 400.00  0.00 800.00  1.57  0
 10  751 410.00  0.00 800.00  1.43  0
 11  753 430.00  0.00 800.00  1.43  0
 12  677 460.00  0.00 800.00  1.29  0
 13  593 410.00  0.00 800.00  1.14  0
 14  598 460.00  0.00 800.00  1.14  0
 15  595 430.00  0.00 800.00  1.14  0
 16  597 450.00  0.00 800.00  1.14  0
 17  596 440.00  0.00 800.00  1.14  0
 18  672 410.00  0.00 800.00  1.29  0
 19  673 420.00  0.00 800.00  1.29  0
