Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.8292  2.6083    -9.0224 -0.8909
      1  -2.5186  1.3497    -4.6048 -0.6478
      2  -3.5869  0.8102    -4.7062 -2.6863
      3  -3.0520  0.5972    -3.7044 -2.6082
      4  -3.3357  0.5130    -3.8817 -3.0610
      5  -3.1815  0.4813    -3.6148 -2.9531
      6  -3.0502  0.8644    -3.7421 -2.4016
      7  -2.9785  0.6954    -3.4212 -2.4411
      8  -2.8727  0.6539    -3.3699 -2.3095
      9  -2.9307  0.4918    -3.3654 -2.6960
     10  -2.8909  0.4025    -3.2123 -2.6912
     11  -2.9139  0.3066    -3.2206 -2.9017
     12  -2.9183  0.2311    -3.2167 -2.9094
     13  -2.9050  0.1755    -3.1570 -2.9093
     14  -2.9070  0.1313    -3.1568 -2.9126
     15  -2.9764  0.3926    -3.3855 -2.9101
     16  -2.9402  0.3180    -3.3305 -2.9092
     17  -2.9500  0.2832    -3.3522 -2.9132
     18  -2.9339  0.3934    -3.2660 -2.9062
     19  -2.9168  0.2971    -3.1630 -2.9071

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0073  0.1898
      1   0.1020  0.0585     0.0073  0.1898
      2   0.1017  0.0588     0.0065  0.1898
      3   0.1020  0.0587     0.0071  0.1899
      4   0.1028  0.0586     0.0075  0.1900
      5   0.1036  0.0583     0.0080  0.1901
      6   0.0484  0.0391     0.0001  0.1234
      7   0.0536  0.0397     0.0012  0.1291
      8   0.0526  0.0393     0.0018  0.1279
      9   0.0607  0.0396     0.0057  0.1354
     10   0.0661  0.0407     0.0081  0.1422
     11   0.0732  0.0406     0.0139  0.1482
     12   0.0775  0.0400     0.0185  0.1511
     13   0.0823  0.0398     0.0225  0.1552
     14   0.0856  0.0392     0.0268  0.1574
     15   0.0445  0.0223     0.0087  0.0815
     16   0.0475  0.0225     0.0112  0.0848
     17   0.0493  0.0229     0.0131  0.0874
     18   0.0423  0.0204     0.0084  0.0751
     19   0.0445  0.0200     0.0110  0.0766

