Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8583  2.0621    -9.1288 -2.8442
      1  -4.1726  1.2016    -5.9498 -2.5400
      2  -5.1289  0.7215    -6.0406 -4.4941
      3  -4.7262  0.5810    -5.3634 -4.3400
      4  -4.4386  0.6448    -4.9804 -3.9781
      5  -4.5103  0.4478    -4.9716 -4.4662
      6  -4.7068  0.7737    -5.5272 -4.3196
      7  -4.5658  0.8892    -5.5088 -3.9166
      8  -4.4521  1.3804    -7.4473 -1.8850
      9  -4.4401  1.0850    -6.1083 -2.9265
     10  -4.4313  0.8492    -5.3154 -3.5498
     11  -4.4866  0.6577    -5.1977 -4.0427
     12  -4.5124  0.5176    -5.1389 -4.2409
     13  -4.4742  0.4112    -4.9645 -4.2457
     14  -4.4972  0.3290    -4.9607 -4.3136
     15  -4.4746  0.2596    -4.8836 -4.3131
     16  -4.4897  0.2079    -4.8849 -4.4133
     17  -4.4759  0.1642    -4.7648 -4.4085
     18  -4.4591  0.1584    -4.7342 -4.3438
     19  -4.4723  0.1232    -4.7345 -4.4789

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0593     0.0053  0.1897
      1   0.0996  0.0595     0.0050  0.1896
      2   0.1010  0.0594     0.0047  0.1898
      3   0.1013  0.0592     0.0052  0.1898
      4   0.0955  0.0610     0.0021  0.1891
      5   0.1076  0.0580     0.0083  0.1909
      6   0.0522  0.0415     0.0001  0.1322
      7   0.0452  0.0372     0.0001  0.1145
      8   0.0209  0.0219     0.0000  0.0615
      9   0.0236  0.0218     0.0000  0.0639
     10   0.0254  0.0216     0.0001  0.0653
     11   0.0289  0.0221     0.0002  0.0688
     12   0.0318  0.0224     0.0014  0.0719
     13   0.0353  0.0228     0.0028  0.0753
     14   0.0384  0.0231     0.0047  0.0787
     15   0.0415  0.0232     0.0073  0.0815
     16   0.0444  0.0234     0.0090  0.0844
     17   0.0471  0.0234     0.0113  0.0871
     18   0.0480  0.0238     0.0117  0.0885
     19   0.0510  0.0239     0.0144  0.0916

