trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2931  90.00  0.00 800.00 104.29  1
  1 3515 400.00  0.00 800.00 365.00  0
  2 2883 400.00  0.00 800.00 78.21  1
  3 3274 360.00  0.00 800.00 208.57  0
  4 3036 350.00  0.00 800.00 130.36  0
  5 2882 390.00  0.00 800.00 78.21  1
  6 2962 400.00  0.00 800.00 104.29  1
  7 2961 390.00  0.00 800.00 104.29  0
  8 2962 390.00  0.00 800.00 78.21  0
  9 1264  10.00  0.00 800.00  3.00  1
 10 1185  10.00  0.00 800.00  2.57  1
 11 2803 390.00  0.00 800.00 52.14  1
 12 2875 320.00  0.00 800.00 78.21  1
 13 2966 440.00  0.00 800.00 104.29  0
 14 2879 360.00  0.00 800.00 78.21  1
 15 2965 430.00  0.00 800.00 104.29  0
 16 2880 370.00  0.00 800.00 78.21  1
 17 2964 420.00  0.00 800.00 104.29  0
 18 2880 370.00  0.00 800.00 104.29  0
 19 2881 380.00  0.00 800.00 78.21  1
