trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2976 540.00  0.00 800.00 104.29  1
  1 3770 580.00  0.00 800.00 521.43  0
  2 3756 440.00  0.00 800.00 521.43  0
  3 3592 380.00  0.00 800.00 417.14  0
  4 3359 420.00  0.00 800.00 260.71  0
  5 3279 410.00  0.00 800.00 208.57  0
  6 2967 450.00  0.00 800.00 104.29  1
  7 3203 440.00  0.00 800.00 182.50  1
  8 3278 400.00  0.00 800.00 208.57  1
  9 3278 380.00  0.00 800.00 182.50  1
 10 3278 420.00  0.00 800.00 182.50  1
 11 3436 400.00  0.00 800.00 312.86  0
 12 3278 420.00  0.00 800.00 182.50  0
 13 3279 410.00  0.00 800.00 208.57  0
 14 3280 420.00  0.00 800.00 208.57  0
 15 3281 430.00  0.00 800.00 208.57  0
 16 3281 430.00  0.00 800.00 260.71  1
 17 1975  10.00  0.00 800.00 12.86  1
 18 1896  10.00  0.00 800.00 10.71  1
 19 3111 310.00  0.00 800.00 156.43  1
