Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.2395  1.3753    -7.0980 -5.5751
      1  -6.2445  0.9277    -7.3658 -5.4044
      2  -5.8433  0.7481    -6.5953 -5.3006
      3  -5.5633  0.7005    -6.1890 -5.0635
      4  -5.3911  0.7212    -5.9554 -4.7229
      5  -4.9851  1.1214    -5.8283 -2.5552
      6  -5.2518  0.7115    -5.7912 -4.7054
      7  -5.3882  0.7799    -5.9954 -4.8678
      8  -5.4691  0.6541    -5.9886 -5.2769
      9  -5.5034  0.4911    -5.9540 -5.3427
     10  -5.5302  0.3801    -5.9392 -5.4835
     11  -5.5192  0.2866    -5.7901 -5.4942
     12  -5.4153  0.6322    -5.8895 -5.2724
     13  -5.3245  0.7007    -5.7917 -5.1053
     14  -5.2778  0.6377    -5.7685 -5.1084
     15  -5.2608  0.5269    -5.7240 -5.1670
     16  -5.2151  1.2016    -6.6388 -2.6053
     17  -5.2847  0.9123    -5.9861 -4.4782
     18  -5.3242  0.6859    -5.8643 -4.9515
     19  -5.3605  0.5271    -5.7965 -5.1119

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0998  0.0598     0.0024  0.1896
      1   0.0985  0.0604     0.0015  0.1895
      2   0.0995  0.0598     0.0026  0.1895
      3   0.0984  0.0600     0.0024  0.1893
      4   0.0961  0.0606     0.0021  0.1889
      5   0.0481  0.0445     0.0001  0.1378
      6   0.0594  0.0451     0.0001  0.1472
      7   0.0527  0.0406     0.0001  0.1298
      8   0.0607  0.0424     0.0003  0.1398
      9   0.0652  0.0416     0.0055  0.1427
     10   0.0706  0.0416     0.0097  0.1473
     11   0.0760  0.0408     0.0153  0.1509
     12   0.0397  0.0242     0.0007  0.0804
     13   0.0370  0.0239     0.0001  0.0775
     14   0.0404  0.0255     0.0003  0.0841
     15   0.0446  0.0263     0.0030  0.0892
     16   0.0190  0.0147     0.0000  0.0421
     17   0.0208  0.0141     0.0001  0.0432
     18   0.0218  0.0137     0.0001  0.0437
     19   0.0235  0.0134     0.0011  0.0449

