trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 3667 340.00  0.00 800.00 469.29  1
  1 3770 580.00  0.00 800.00 521.43  0
  2 3756 440.00  0.00 800.00 521.43  1
  3 3761 490.00  0.00 800.00 521.43  1
  4 3766 540.00  0.00 800.00 521.43  1
  5 3771 590.00  0.00 800.00 521.43  0
  6 3765 530.00  0.00 800.00 521.43  0
  7 3766 540.00  0.00 800.00 521.43  0
  8 3767 550.00  0.00 800.00 521.43  0
  9 3758 460.00  0.00 800.00 521.43  0
 10 2528  10.00  0.00 800.00 38.57  1
 11 3664 310.00  0.00 800.00 469.29  1
 12 3749 370.00  0.00 800.00 521.43  1
 13 3753 410.00  0.00 800.00 521.43  1
 14 3759 470.00  0.00 800.00 521.43  1
 15 3758 460.00  0.00 800.00 521.43  1
 16 3759 470.00  0.00 800.00 469.29  1
 17 3770 580.00  0.00 800.00 521.43  0
 18 3759 450.00  0.00 800.00 469.29  0
 19 3774 620.00  0.00 800.00 521.43  0
