Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4332  1.3532    -6.3005 -5.9275
      1  -6.4141  1.0466    -7.5109 -5.3234
      2  -6.7819  0.8838    -7.7061 -6.3543
      3  -6.9650  0.7858    -7.8786 -6.6912
      4  -7.1376  0.7988    -8.2771 -6.9059
      5  -7.0616  0.6011    -7.5355 -6.9195
      6  -6.7659  1.1088    -7.6652 -5.1891
      7  -6.6908  1.0267    -7.3628 -5.6437
      8  -6.7165  0.8347    -7.2635 -6.4325
      9  -6.1706  1.6298    -7.6526 -1.9611
     10  -6.3887  1.2748    -7.3547 -3.4356
     11  -6.5427  0.9851    -7.2967 -5.6528
     12  -6.6429  0.7655    -7.2676 -6.3313
     13  -6.7101  0.6033    -7.2555 -6.5084
     14  -6.7722  0.5242    -7.2814 -6.6050
     15  -6.8138  0.4300    -7.2858 -6.6430
     16  -6.8383  0.3443    -7.2809 -6.6873
     17  -6.8258  0.2630    -7.1700 -6.6861
     18  -6.7073  0.5963    -7.2623 -6.5872
     19  -6.7151  0.4612    -7.1571 -6.5923

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0982  0.0604     0.0011  0.1894
      1   0.0946  0.0616     0.0001  0.1889
      2   0.0972  0.0611     0.0003  0.1894
      3   0.0994  0.0603     0.0024  0.1897
      4   0.0957  0.0614     0.0022  0.1893
      5   0.1110  0.0577     0.0081  0.1916
      6   0.0562  0.0437     0.0001  0.1383
      7   0.0605  0.0449     0.0001  0.1445
      8   0.0685  0.0455     0.0001  0.1519
      9   0.0211  0.0200     0.0000  0.0558
     10   0.0238  0.0196     0.0000  0.0579
     11   0.0267  0.0193     0.0001  0.0600
     12   0.0295  0.0192     0.0004  0.0620
     13   0.0322  0.0193     0.0024  0.0649
     14   0.0351  0.0202     0.0037  0.0691
     15   0.0379  0.0207     0.0056  0.0729
     16   0.0402  0.0209     0.0076  0.0751
     17   0.0425  0.0206     0.0101  0.0769
     18   0.0250  0.0129     0.0019  0.0450
     19   0.0264  0.0126     0.0039  0.0459

