Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.8760  2.3886    -7.9626 -0.4021
      1  -5.8701  1.4196    -8.5778 -4.0820
      2  -4.8577  0.7866    -6.0035 -3.9962
      3  -4.3293  0.5968    -5.0014 -3.8978
      4  -4.0480  0.5689    -4.6155 -3.6859
      5  -4.2334  0.4501    -4.7027 -4.0507
      6  -4.2136  0.3454    -4.6305 -4.0682
      7  -3.9535  0.9029    -4.7192 -2.7383
      8  -4.0410  0.6528    -4.6430 -3.6486
      9  -4.1731  0.7089    -4.7856 -3.7737
     10  -4.2343  0.6274    -4.7936 -3.9739
     11  -4.2018  0.4881    -4.6629 -3.9860
     12  -4.2279  0.3952    -4.6596 -4.0662
     13  -4.3480  0.7480    -5.0464 -4.0108
     14  -4.3224  0.5696    -4.8746 -4.0710
     15  -4.4370  0.7722    -5.1769 -4.0474
     16  -4.4315  0.5868    -5.0102 -4.1574
     17  -4.4060  0.4618    -4.9367 -4.2043
     18  -4.5180  0.7457    -5.2485 -4.0988
     19  -4.5147  0.5724    -5.1731 -4.2163

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0587     0.0065  0.1897
      1   0.1014  0.0585     0.0067  0.1896
      2   0.1028  0.0585     0.0072  0.1900
      3   0.1021  0.0589     0.0063  0.1900
      4   0.1010  0.0594     0.0052  0.1899
      5   0.1037  0.0583     0.0078  0.1902
      6   0.1091  0.0560     0.0140  0.1908
      7   0.0381  0.0336     0.0001  0.1025
      8   0.0439  0.0341     0.0005  0.1086
      9   0.0358  0.0260     0.0001  0.0820
     10   0.0391  0.0272     0.0004  0.0875
     11   0.0430  0.0273     0.0033  0.0910
     12   0.0471  0.0279     0.0067  0.0960
     13   0.0247  0.0158     0.0001  0.0503
     14   0.0265  0.0154     0.0011  0.0516
     15   0.0198  0.0121     0.0001  0.0386
     16   0.0205  0.0117     0.0006  0.0389
     17   0.0220  0.0116     0.0017  0.0399
     18   0.0151  0.0087     0.0001  0.0272
     19   0.0156  0.0084     0.0005  0.0273

