trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2763 780.00  0.00 800.00 47.14  0
  1 2725 400.00  0.00 800.00 47.14  1
  2 3592 380.00  0.00 800.00 417.14  0
  3 3041 400.00  0.00 800.00 130.36  0
  4 2883 400.00  0.00 800.00 78.21  0
  5 2807 430.00  0.00 800.00 52.14  1
  6 2883 390.00  0.00 800.00 104.29  0
  7 2883 400.00  0.00 800.00 52.14  0
  8 2488 400.00  0.00 800.00 34.29  1
  9 2807 430.00  0.00 800.00 52.14  1
 10 2806 420.00  0.00 800.00 52.14  1
 11 2887 440.00  0.00 800.00 78.21  0
 12 2805 410.00  0.00 800.00 52.14  1
 13 2886 430.00  0.00 800.00 78.21  1
 14 2972 500.00  0.00 800.00 104.29  0
 15 2887 440.00  0.00 800.00 78.21  1
 16 1501  10.00  0.00 800.00  4.50  1
 17 2970 480.00  0.00 800.00 104.29  0
 18 2970 500.00  0.00 800.00 78.21  1
 19 1106  10.00  0.00 800.00  2.29  1
