trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1050 240.00  0.00 800.00  2.00  1
  1 2883 400.00  0.00 800.00 78.21  0
  2 1858 420.00  0.00 800.00  8.57  0
  3 1305 420.00  0.00 800.00  3.00  0
  4  988 410.00  0.00 800.00  1.86  0
  5  905 370.00  0.00 800.00  1.71  1
  6  905 350.00  0.00 800.00  1.57  1
  7 1066 400.00  0.00 800.00  2.00  0
  8  905 370.00  0.00 800.00  1.57  0
  9  906 380.00  0.00 800.00  1.71  1
 10  905 350.00  0.00 800.00  1.57  1
 11  750 400.00  0.00 800.00  1.43  1
 12 1069 430.00  0.00 800.00  2.00  1
 13 1312 490.00  0.00 800.00  3.00  0
 14 1231 470.00  0.00 800.00  2.57  1
 15 3001 790.00  0.00 800.00 104.29  0
 16 3080 790.00  0.00 800.00 130.36  0
 17 3080 790.00  0.00 800.00 104.29  0
 18 1314 510.00  0.00 800.00  3.00  1
 19 3475 790.00  0.00 800.00 312.86  0
