Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6169  2.7279    -9.0008 -0.4901
      1  -2.4351  1.5235    -4.8329 -0.2660
      2  -3.7145  0.8609    -4.9586 -2.6978
      3  -4.2458  0.6326    -5.0168 -3.7026
      4  -4.5342  0.5487    -5.1886 -4.2207
      5  -4.8401  0.6430    -5.7644 -4.5349
      6  -5.3510  1.1399    -8.1457 -4.6148
      7  -4.9851  0.6446    -5.8972 -4.6136
      8  -4.8092  0.6142    -5.4950 -4.4870
      9  -4.7361  0.5105    -5.2359 -4.4805
     10  -4.5783  0.8587    -5.4347 -3.7701
     11  -4.6254  0.6791    -5.2591 -4.1796
     12  -4.6582  0.5379    -5.2295 -4.3321
     13  -4.5557  0.6046    -5.1522 -4.2270
     14  -4.5771  0.4784    -5.1075 -4.3026
     15  -4.5156  0.4404    -4.9875 -4.2703
     16  -4.4820  0.3705    -4.9495 -4.2645
     17  -4.4993  0.2945    -4.9487 -4.3197
     18  -4.6038  0.6665    -5.2343 -4.2551
     19  -4.7553  1.5777    -8.0961 -1.5862

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0070  0.1898
      1   0.1021  0.0586     0.0073  0.1899
      2   0.1015  0.0589     0.0064  0.1898
      3   0.1017  0.0587     0.0067  0.1898
      4   0.1027  0.0586     0.0070  0.1900
      5   0.0951  0.0606     0.0037  0.1888
      6   0.0378  0.0368     0.0002  0.1117
      7   0.0478  0.0383     0.0013  0.1223
      8   0.0464  0.0364     0.0009  0.1158
      9   0.0533  0.0387     0.0023  0.1260
     10   0.0230  0.0178     0.0001  0.0540
     11   0.0258  0.0180     0.0001  0.0568
     12   0.0284  0.0181     0.0013  0.0595
     13   0.0242  0.0148     0.0006  0.0480
     14   0.0261  0.0147     0.0020  0.0499
     15   0.0271  0.0149     0.0025  0.0514
     16   0.0289  0.0152     0.0039  0.0537
     17   0.0307  0.0152     0.0064  0.0550
     18   0.0174  0.0097     0.0001  0.0318
     19   0.0065  0.0057     0.0000  0.0134

